rowid;latitude;longitude;target;dbuiltup;dforest;drecreation;dbrr;dwrl;dwrn;dwrr;dcamping;dcaravan;dcross;dgolf;dheem;dhaven;dsafari;dwater;attr;dbath;lu;lc;maxmeanhaz;maxstdhaz;exp
9.0;187697.848961306;307738.427948085;1;0.0;2378.0;923.0;1186.0;62.0;809.0;809.0;1160.0;665.0;19560.0;16732.0;4424.0;24124.0;15587.0;15693.0;346.0;5.0;15924.0;51.0;1.0;0.0;6.0
11.0;190759.327217125;307671.827217125;1;0.0;1937.0;519.0;1661.0;207.0;3613.0;1997.0;703.0;4638.0;16379.0;27864.0;9820.0;26804.0;2695.0;27735.0;331.0;-1.0;4743.0;51.0;2.0;0.0;6.0
12.0;191450.697409621;307618.83361799;1;0.0;1691.0;328.0;1054.0;23.0;3627.0;1747.0;237.0;4377.0;16237.0;27370.0;9565.0;26550.0;2538.0;27234.0;247.0;5.0;4665.0;51.0;2.0;0.0;6.0
13.0;192523.355884683;307551.686127002;2;0.0;1425.0;889.0;208.0;421.0;3594.0;1373.0;91.0;3542.0;15851.0;26560.0;9052.0;26008.0;2324.0;26419.0;577.0;-1.0;4443.0;51.0;1.0;0.0;6.0
14.0;193437.457258315;307756.631289134;1;0.0;679.0;747.0;800.0;52.0;3875.0;1148.0;52.0;2573.0;15521.0;25587.0;8583.0;25438.0;2593.0;25436.0;183.0;-1.0;4492.0;51.0;4.0;0.0;6.0
17.0;197506.905370844;307608.746803069;1;0.0;351.0;1384.0;1727.0;305.0;3871.0;1276.0;263.0;2011.0;15499.0;24845.0;8476.0;25155.0;3307.0;24682.0;1001.0;-1.0;4946.0;51.0;2.0;0.0;6.0
19.0;199321.466667335;307667.866662881;3;0.0;914.0;167.0;1028.0;300.0;4761.0;1167.0;300.0;1436.0;15755.0;20761.0;6430.0;23604.0;7937.0;20531.0;315.0;-1.0;8604.0;51.0;45.0;0.0;6.0
24.0;179491.284663544;308505.810224374;2;0.0;664.0;214.0;876.0;146.0;5144.0;990.0;107.0;1782.0;15895.0;20240.0;5822.0;23454.0;8602.0;19983.0;381.0;-1.0;9196.0;51.0;1.0;0.0;6.0
28.0;184523.161189358;308520.657276995;1;0.0;578.0;1030.0;1143.0;141.0;5524.0;921.0;141.0;1765.0;16019.0;19595.0;5100.0;23229.0;9360.0;19280.0;57.0;-1.0;9867.0;51.0;9.0;0.0;6.0
29.0;185500.0;308500.0;2;1.0;1232.0;143.0;1040.0;550.0;4911.0;536.0;49.0;1833.0;16632.0;18699.0;4133.0;23203.0;10814.0;18240.0;987.0;5.0;11248.0;51.0;1.0;0.0;6.0
30.0;186473.118278287;308529.390681736;1;0.0;927.0;3.0;623.0;562.0;4477.0;252.0;184.0;1755.0;16615.0;18302.0;3747.0;22994.0;11162.0;17823.0;816.0;-1.0;11541.0;60.0;1.0;0.0;6.0
32.0;188440.69825095;308581.246884192;8;1.0;1642.0;0.0;1269.0;896.0;2173.0;21.0;412.0;794.0;18059.0;16916.0;3247.0;23247.0;13828.0;16130.0;403.0;5.0;14127.0;60.0;11.0;0.0;6.0
