cellid;biteid
126906;1
100940;2
16975;3
45931;4
33231;5
24296;6
9375;7
60183;8
110703;9
24970;10
92057;11
86684;12
55497;13
83816;14
85210;15
140588;16
142827;17
84545;18
11886;19
10830;20
100485;21
65011;22
133653;23
58071;24
82427;25
78864;26
54919;27
58728;28
142827;29
72668;30
110703;31
141605;32
137288;33
60085;34
131800;35
134349;36
84545;37
42775;38
72748;39
110703;40
82293;41
110703;42
43359;43
67549;44
62824;45
33196;46
109712;47
66442;48
142329;49
72748;50
110264;51
57058;52
107111;53
73495;54
110703;55
72748;56
50145;57
118339;58
84545;59
72748;60
72748;61
72748;62
103447;63
87508;64
59376;65
10910;66
110703;67
131800;68
142327;69
62824;70
77456;71
72748;72
128588;73
60085;74
4245;75
135399;76
29737;77
126130;78
50045;79
9941;80
97075;81
132227;82
21879;83
130901;84
12883;85
110703;86
123492;87
78954;88
85928;89
101775;90
60085;91
53641;92
140014;93
90543;94
71131;95
8382;96
29803;97
66233;98
104546;99
62293;100
126130;101
90527;102
76172;103
32521;104
72748;105
140864;106
119686;107
91122;108
97366;109
86684;110
80470;111
142369;112
101789;113
90543;114
80470;115
139080;116
21879;117
94474;118
84611;119
92141;120
135907;121
8984;122
85116;123
127435;124
83816;125
86750;126
62086;127
72748;128
132717;129
72748;130
71223;131
119724;132
29803;133
16509;134
60183;135
1864;136
34521;137
58728;138
58728;139
140014;140
100967;141
59456;142
138907;143
58962;144
110703;145
114547;146
119724;147
18507;148
50045;149
97075;150
104546;151
97075;152
57602;153
50045;154
15425;155
41069;156
110703;157
75672;158
26933;159
110703;160
104546;161
126100;162
81042;163
81730;164
71223;165
50045;166
42775;167
63614;168
87400;169
122554;170
116222;171
130276;172
77055;173
140864;174
140588;175
110945;176
90543;177
88278;178
133909;179
72748;180
72748;181
29803;182
117038;183
58962;184
60183;185
92141;186
128739;187
178;188
59376;189
101775;190
142369;191
83660;192
119740;193
70040;194
130733;195
96731;196
58962;197
71457;198
58734;199
27554;200
117556;201
18507;202
110703;203
86528;204
50553;205
97075;206
126890;207
80470;208
102649;209
129110;210
77706;211
21879;212
29803;213
24615;214
128051;215
36712;216
82459;217
48175;218
110155;219
72748;220
759;221
62886;222
72748;223
69144;224
50045;225
50045;226
72748;227
51117;228
110703;229
80470;230
51117;231
59022;232
82449;233
59376;234
15808;235
78202;236
79665;237
110703;238
40640;239
29803;240
84545;241
22830;242
18756;243
76967;244
60689;245
29737;246
78172;247
71457;248
80498;249
81042;250
81042;251
71947;252
62824;253
65528;254
110703;255
38260;256
92141;257
72748;258
110703;259
65540;260
102649;261
60183;262
54534;263
97761;264
88002;265
47329;266
50145;267
72748;268
58728;269
110703;270
64867;271
110103;272
82449;273
50438;274
110703;275
72748;276
38938;277
28047;278
59456;279
22830;280
69144;281
27554;282
36592;283
53641;284
110103;285
50145;286
94910;287
117556;288
97075;289
53641;290
129316;291
110703;292
143552;293
133291;294
50145;295
112098;296
15906;297
81616;298
21879;299
67779;300
130733;301
88278;302
90527;303
71947;304
72748;305
8984;306
71947;307
110703;308
85920;309
143050;310
70004;311
28438;312
78296;313
114289;314
61352;315
132227;316
44353;317
134435;318
62163;319
39998;320
77456;321
133291;322
103257;323
110703;324
72748;325
84545;326
53693;327
78308;328
65007;329
47337;330
130276;331
110703;332
87302;333
92057;334
97366;335
65450;336
129114;337
121838;338
81022;339
12917;340
63382;341
110703;342
58734;343
50951;344
101775;345
60183;346
72748;347
84545;348
86002;349
13848;350
108979;351
85790;352
120447;353
40076;354
110703;355
22830;356
130733;357
59022;358
85904;359
84493;360
67629;361
62886;362
67629;363
86750;364
85928;365
69144;366
118881;367
81024;368
100953;369
68592;370
143854;371
110703;372
59376;373
97075;374
142827;375
95702;376
90527;377
60888;378
117556;379
76216;380
65045;381
110703;382
136958;383
58962;384
78288;385
85920;386
32475;387
103283;388
83276;389
143491;390
60183;391
45981;392
60693;393
68278;394
110703;395
29092;396
22367;397
97075;398
110703;399
110103;400
21879;401
121705;402
72748;403
21879;404
97075;405
58734;406
23883;407
84545;408
40076;409
18507;410
109740;411
126182;412
78308;413
119724;414
84545;415
110703;416
110703;417
119740;418
32475;419
114547;420
78274;421
125525;422
45827;423
90655;424
45829;425
88154;426
31383;427
69708;428
69806;429
114535;430
84545;431
91272;432
77546;433
80498;434
56138;435
70494;436
46419;437
59376;438
22367;439
60089;440
22830;441
73959;442
70494;443
110703;444
72748;445
59376;446
58734;447
34461;448
78202;449
117556;450
101775;451
117556;452
110260;453
36592;454
25391;455
16437;456
81618;457
76172;458
133291;459
53197;460
119740;461
85770;462
119740;463
75624;464
63682;465
87027;466
58734;467
60085;468
27554;469
36592;470
90543;471
66153;472
24970;473
84545;474
60183;475
78308;476
58734;477
43793;478
63677;479
125525;480
20897;481
84545;482
138437;483
120976;484
70040;485
39998;486
72748;487
110103;488
128588;489
37268;490
15425;491
124778;492
68368;493
75624;494
60085;495
133291;496
35006;497
12883;498
141846;499
110703;500
65007;501
141375;502
78308;503
78308;504
759;505
759;506
78972;507
58776;508
110264;509
120976;510
70040;511
75486;512
72748;513
72536;514
83126;515
84493;516
50125;517
43793;518
50125;519
140746;520
60689;521
84545;522
65540;523
22367;524
