rowid;latitude;longitude;target;dbuiltup;dforest;drecreation;dbrr;dwrl;dwrn;dwrr;dcamping;dcaravan;dcross;dgolf;dheem;dhaven;dsafari;dwater;attr;dbath;lu;lc;maxmeanhaz;maxstdhaz;exp
17.0;197506.905370844;307608.746803069;1;0.0;351.0;1384.0;1727.0;305.0;3871.0;1276.0;263.0;2011.0;15499.0;24845.0;8476.0;25155.0;3307.0;24682.0;1001.0;-1.0;4946.0;51.0;2.0;0.0;6.0
19.0;199321.466667335;307667.866662881;2;0.0;914.0;167.0;1028.0;300.0;4761.0;1167.0;300.0;1436.0;15755.0;20761.0;6430.0;23604.0;7937.0;20531.0;315.0;-1.0;8604.0;51.0;45.0;0.0;6.0
35.0;191500.0;308500.0;1;1.0;1723.0;200.0;1469.0;556.0;1568.0;418.0;1063.0;189.0;18469.0;16598.0;3447.0;23350.0;14518.0;15726.0;651.0;5.0;14799.0;51.0;1.0;0.0;6.0
37.0;193500.0;308500.0;1;1.0;1999.0;226.0;400.0;756.0;38.0;429.0;119.0;441.0;19504.0;15554.0;4256.0;23472.0;16458.0;14444.0;68.0;5.0;16652.0;78.0;45.0;0.0;6.0
38.0;194496.505376344;308503.817204301;1;0.0;2536.0;263.0;92.0;1208.0;90.0;513.0;90.0;96.0;19584.0;15115.0;4010.0;23514.0;17271.0;13901.0;228.0;5.0;17425.0;51.0;45.0;0.0;6.0
39.0;195509.741283765;308565.775777385;1;0.0;1311.0;0.0;1949.0;1415.0;78.0;107.0;2047.0;1770.0;20175.0;14588.0;1961.0;24327.0;19696.0;13031.0;1396.0;5.0;19128.0;60.0;11.0;0.0;6.0
40.0;196500.101874137;308500.103321221;2;1.0;929.0;0.0;1497.0;803.0;25.0;302.0;1652.0;1137.0;20428.0;14492.0;1514.0;24641.0;20511.0;12823.0;676.0;5.0;19216.0;60.0;11.0;0.0;6.0
43.0;199338.372818044;308552.937918105;1;0.0;1643.0;265.0;1428.0;121.0;3273.0;1711.0;645.0;4305.0;16046.0;27655.0;9509.0;26491.0;2376.0;27531.0;500.0;4.0;4406.0;72.0;16.0;0.0;6.0
50.0;182834.972556001;309580.373831776;1;0.0;709.0;219.0;599.0;86.0;3253.0;605.0;84.0;2222.0;14893.0;25234.0;7973.0;24859.0;2081.0;25093.0;428.0;-1.0;3880.0;51.0;1.0;0.0;6.0
51.0;183500.0;309500.0;1;1.0;0.0;672.0;1209.0;85.0;3133.0;656.0;85.0;1419.0;14764.0;24415.0;7748.0;24470.0;2847.0;24264.0;448.0;1.0;4298.0;20.0;1.0;0.0;6.0
56.0;188500.0;309500.0;5;0.0;949.0;257.0;1192.0;945.0;2968.0;1182.0;252.0;1190.0;14330.0;21360.0;7454.0;22904.0;5934.0;21174.0;264.0;-1.0;6495.0;51.0;1.0;0.0;6.0
57.0;189500.0;309500.0;1;0.0;722.0;506.0;605.0;415.0;3243.0;996.0;99.0;603.0;14468.0;20904.0;7035.0;22792.0;6557.0;20709.0;539.0;-1.0;7064.0;51.0;5.0;0.0;6.0
61.0;193500.0;309500.0;2;0.0;729.0;451.0;894.0;33.0;4859.0;18.0;18.0;1022.0;15823.0;18189.0;3645.0;22402.0;10519.0;17823.0;337.0;5.0;10808.0;51.0;1.0;0.0;6.0
62.0;194500.0;309500.0;5;6.0;257.0;560.0;67.0;139.0;3977.0;166.0;485.0;1021.0;16159.0;17576.0;3011.0;22318.0;11395.0;17125.0;82.0;2.0;11639.0;51.0;1.0;0.0;6.0
63.0;195500.0;309500.0;4;0.0;906.0;0.0;655.0;321.0;2973.0;312.0;895.0;408.0;16436.0;16796.0;2329.0;22102.0;12348.0;16263.0;514.0;5.0;12516.0;60.0;11.0;0.0;6.0
73.0;180500.0;310500.0;1;1.0;1970.0;0.0;1299.0;1859.0;24.0;642.0;634.0;1306.0;19067.0;14041.0;2631.0;23134.0;18425.0;12698.0;764.0;5.0;18257.0;60.0;11.0;0.0;6.0
83.0;190500.0;310500.0;2;0.0;0.0;945.0;298.0;275.0;2065.0;275.0;320.0;2602.0;14193.0;25605.0;7483.0;24469.0;716.0;25491.0;109.0;0.0;2759.0;20.0;18.0;0.0;6.0
